NoOfItem,MaxNoOfItem,Item-Branch Key,Order Number,DateKey
3,3,CR-10544,215456,38309
1,4,CR-10823,214442,38296
3,4,CR-10823,214442,38296
2,4,CR-10665,214442,38296
4,4,CR-10685,214442,38296
1,3,CR-10828,214674,38296
2,3,CR-10976,214674,38296
3,3,CR-10976,214674,38296
3,4,CR-10799,213998,38289
4,4,CR-10067,213998,38289
1,4,CR-10880,213998,38289
2,4,CR-10556,213998,38289
2,3,CR-10853,212158,38262
1,3,CR-10595,212158,38262
3,3,CR-10595,212158,38262
2,4,CR-10009,212348,38267
3,4,CR-10347,212348,38267
1,4,CR-10680,212348,38267
4,4,CR-10412,212348,38267
1,1,PC-10582,212552,38287
1,2,CR-10004,212951,38287
2,2,CR-10858,212951,38287
2,3,CR-10975,213156,38308
1,3,CR-10665,213156,38280
3,3,CR-10822,213156,38296
1,2,CR-10654,213360,38296
2,2,CR-10654,213360,38296
1,1,PC-10582,213577,38298
2,2,CR-10882,210374,38239
1,2,CR-10900,210374,38239
1,1,CR-10965,210567,38240
2,2,CR-10004,210768,38246
1,2,CR-10713,210768,38246
2,2,CR-10495,210966,38247
1,2,CR-10303,210966,38247
1,2,CR-10373,211171,38266
2,2,CR-10629,211171,38266
1,1,CR-10359,211363,38256
3,7,CR-10078,207855,38210
7,7,CR-10724,207855,38203
2,7,CR-10713,207855,38203
1,7,CR-10248,207855,38203
5,7,CR-10917,207855,38203
6,7,CR-10802,207855,38203
4,7,CR-10803,207855,38210
4,4,CR-10713,208432,38210
1,4,CR-10707,208432,38210
2,4,CR-10707,208432,38210
3,4,CR-10707,208432,38210
1,4,CR-10003,208622,38211
2,4,CR-10003,208622,38211
4,4,CR-10544,208622,38211
3,4,CR-10686,208622,38211
1,2,CR-10415,208823,38214
2,2,CR-10690,208823,38214
1,1,CR-10391,209009,38248
1,3,CR-10089,209215,38224
3,3,CR-10089,209215,38224
2,3,CR-10818,209215,38224
1,67,CR-10505,206880,38186
18,67,CR-10505,206880,38186
55,67,CR-10506,206880,38186
40,67,CR-10670,206880,38186
49,67,CR-10504,206880,38186
58,67,CR-10197,206880,38186
62,67,CR-10197,206880,38186
2,67,CR-10268,206880,38186
56,67,CR-10097,206880,38186
9,67,CR-10507,206880,38186
4,67,CR-10898,206880,38186
52,67,CR-10405,206880,38186
53,67,CR-10409,206880,38186
19,67,CR-10065,206880,38186
60,67,CR-10026,206880,38186
23,67,CR-10032,206880,38186
8,67,CR-10030,206880,38186
32,67,CR-10043,206880,38186
26,67,CR-10007,206880,38197
46,67,CR-10568,206880,38186
31,67,CR-10238,206880,38186
39,67,CR-10241,206880,38186
42,67,CR-10609,206880,38186
64,67,CR-10919,206880,38186
43,67,CR-10052,206880,38186
45,67,CR-10594,206880,38186
10,67,CR-10890,206880,38186
12,67,CR-10404,206880,38186
54,67,CR-10400,206880,38186
27,67,CR-10808,206880,38186
38,67,CR-10390,206880,38186
47,67,CR-10644,206880,38197
61,67,CR-10276,206880,38186
15,67,CR-10620,206880,38186
29,67,CR-10713,206880,38186
28,67,CR-10089,206880,38186
25,67,CR-10872,206880,38197
20,67,CR-10296,206880,38186
37,67,CR-10642,206880,38186
24,67,CR-10823,206880,38217
48,67,CR-10633,206880,38186
11,67,CR-10397,206880,38186
51,67,CR-10408,206880,38186
44,67,CR-10567,206880,38186
5,67,CR-10329,206880,38186
6,67,CR-10029,206880,38186
34,67,CR-10229,206880,38186
22,67,CR-10388,206880,38186
14,67,CR-10797,206880,38186
7,67,CR-10873,206880,38186
35,67,CR-10398,206880,38186
50,67,CR-10205,206880,38197
41,67,CR-10386,206880,38197
16,67,CR-10880,206880,38186
67,67,CR-10414,206880,38186
30,67,CR-10323,206880,38186
3,67,CR-10053,206880,38210
66,67,CR-10319,206880,38186
59,67,CR-10280,206880,38217
65,67,CR-10892,206880,38217
57,67,CR-10181,206880,38206
21,67,CR-10916,206880,38186
33,67,CR-10895,206880,38186
36,67,CR-10399,206880,38186
13,67,CR-10348,206880,38210
17,67,CR-10364,206880,38186
63,67,CR-10267,206880,38186
1,1,CR-10086,207072,38189
2,2,PC-10538,207270,38200
1,2,PC-10484,207270,38200
1,2,CR-10594,207463,38197
2,2,CR-10594,207463,38197
11,12,CR-10197,205483,38169
2,12,CR-10279,205483,38183
1,12,CR-10981,205483,38183
10,12,CR-10644,205483,38183
5,12,CR-10232,205483,38169
7,12,CR-10823,205483,38190
9,12,CR-10639,205483,38164
8,12,CR-10681,205483,38190
3,12,CR-10982,205483,38190
6,12,CR-10006,205483,38190
12,12,CR-10682,205483,38190
4,12,CR-10682,205483,38183
1,1,PC-10258,205679,38193
5,5,CR-10038,206268,38176
1,5,CR-10037,206268,38176
2,5,CR-10078,206268,38176
4,5,CR-10066,206268,38176
3,5,CR-10302,206268,38176
1,2,CR-10993,204292,38141
2,2,CR-10957,204292,38141
2,3,CR-10856,204688,38154
3,3,CR-10856,204688,38154
1,3,CR-10949,204688,38175
1,2,CR-10409,204887,38183
2,2,CR-10316,204887,38183
2,4,CR-10999,205283,38162
1,4,CR-10052,205283,38162
3,4,CR-10054,205283,38162
4,4,CR-10880,205283,38162
6,10,CR-10065,202899,38126
4,10,CR-10855,202899,38126
2,10,CR-10052,202899,38147
9,10,CR-10077,202899,38147
5,10,CR-10964,202899,38126
7,10,CR-10557,202899,38126
1,10,CR-10315,202899,38182
8,10,CR-10529,202899,38126
3,10,CR-10064,202899,38126
10,10,CR-10057,202899,38126
1,1,CR-10720,203098,38122
1,2,CR-10323,203504,38129
2,2,CR-10971,203504,38129
1,1,PC-10064,203901,38156
1,2,CR-10347,204097,38147
2,2,CR-10787,204097,38147
6,6,CR-10814,202311,38144
2,6,CR-10861,202311,38120
5,6,CR-10862,202311,38155
4,6,CR-10278,202311,38120
3,6,CR-10705,202311,38155
1,6,CR-10537,202311,38144
1,1,CR-10412,200524,38253
1,2,CR-10568,200774,38114
2,2,CR-10969,200774,38114
1,1,CR-10483,201081,38106
1,1,CR-10528,201510,38112
1,1,CR-10642,201723,38114
1,2,CR-10507,214224,38301
2,2,CR-10852,214224,38301
2,3,CR-10968,214441,38303
1,3,CR-10699,214441,38303
3,3,CR-10394,214441,38298
4,5,CR-10009,214889,38302
2,5,CR-10592,214889,38302
3,5,CR-10592,214889,38302
5,5,CR-10533,214889,38302
1,5,CR-10796,214889,38302
2,2,CR-10643,215128,38304
1,2,CR-10991,215128,38304
1,3,CR-10853,215453,38309
3,3,CR-10853,215453,38309
2,3,CR-10859,215453,38309
1,1,CR-10088,213786,38284
1,16,CR-10067,210373,38245
16,16,CR-10968,210373,38245
15,16,CR-10973,210373,38245
14,16,CR-10009,210373,38245
13,16,CR-10814,210373,38245
5,16,CR-10924,210373,38245
2,16,CR-10922,210373,38252
9,16,CR-10569,210373,38245
3,16,CR-10186,210373,38245
10,16,CR-10654,210373,38245
7,16,CR-10925,210373,38245
6,16,CR-10933,210373,38245
12,16,CR-10252,210373,38245
8,16,CR-10376,210373,38245
11,16,CR-10818,210373,38245
4,16,CR-10880,210373,38245
1,3,CR-10974,210566,38242
3,3,CR-10231,210566,38242
2,3,CR-11008,210566,38242
1,2,CR-10576,210965,38247
2,2,CR-10482,210965,38247
1,2,CR-10527,211170,38275
2,2,CR-10535,211170,38275
4,5,CR-10834,211361,38256
1,5,CR-10194,211361,38256
3,5,CR-10383,211361,38256
2,5,CR-10818,211361,38256
5,5,CR-10590,211361,38256
1,2,CR-10299,211566,38256
2,2,CR-10414,211566,38256
1,2,CR-10391,211961,38273
2,2,CR-10389,211961,38267
1,2,CR-10626,212157,38263
2,2,CR-10011,212157,38263
2,2,CR-10106,212347,38267
1,2,CR-10851,212347,38267
2,2,CR-10347,212551,38269
1,2,CR-10203,212551,38269
1,2,CR-10347,208431,38211
2,2,CR-10680,208431,38211
1,1,CR-10347,208621,38211
1,1,CR-10671,209428,38221
1,2,CR-10314,209809,38227
2,2,CR-10488,209809,38227
1,1,CR-10814,210001,38232
1,2,CR-10565,210185,38240
2,2,CR-10580,210185,38240
1,2,CR-10966,205482,38164
2,2,CR-10266,205482,38164
3,4,CR-10813,205678,38210
2,4,CR-10943,205678,38189
4,4,CR-10649,205678,38210
1,4,CR-10809,205678,38189
3,7,CR-10717,205877,38203
4,7,CR-10702,205877,38203
6,7,CR-10338,205877,38239
7,7,CR-10953,205877,38239
5,7,CR-10585,205877,38203
1,7,CR-10540,205877,38224
2,7,CR-10107,205877,38203
2,2,CR-10400,206072,38175
1,2,CR-10725,206072,38175
1,2,CR-10808,206267,38179
2,2,CR-10001,206267,38179
1,1,CR-10528,206466,38178
1,2,CR-10568,207071,38189
2,2,CR-10379,207071,38189
1,3,CR-10644,207462,38197
2,3,CR-10624,207462,38197
3,3,CR-10624,207462,38197
2,2,CR-10908,207657,38238
1,2,CR-10874,207657,38224
2,2,CR-10890,207854,38203
1,2,CR-10659,207854,38203
2,39,CR-10799,205079,38170
18,39,CR-10799,205079,38161
1,39,CR-10197,205079,38170
4,39,CR-10565,205079,38161
24,39,CR-10554,205079,38161
29,39,CR-10898,205079,38161
16,39,CR-10623,205079,38170
15,39,CR-10065,205079,38161
3,39,CR-10853,205079,38161
39,39,CR-10009,205079,38199
13,39,CR-10814,205079,38161
32,39,CR-10592,205079,38161
8,39,CR-10909,205079,38269
36,39,CR-10609,205079,38161
21,39,CR-10999,205079,38161
17,39,CR-10069,205079,38161
30,39,CR-10569,205079,38205
11,39,CR-10186,205079,38161
14,39,CR-10808,205079,38161
23,39,CR-10004,205079,38161
37,39,CR-10644,205079,38161
35,39,CR-10254,205079,38199
28,39,CR-10187,205079,38161
38,39,CR-10106,205079,38164
6,39,CR-10190,205079,38161
33,39,CR-10090,205079,38161
26,39,CR-10871,205079,38226
5,39,CR-10287,205079,38161
20,39,CR-10205,205079,38161
10,39,CR-10880,205079,38164
22,39,CR-10414,205079,38161
12,39,CR-10297,205079,38161
19,39,CR-10266,205079,38191
7,39,CR-10658,205079,38269
27,39,CR-10075,205079,38191
31,39,CR-10844,205079,38164
34,39,CR-10577,205079,38161
25,39,CR-10893,205079,38161
9,39,CR-10312,205079,38205
1,2,CR-10981,205282,38168
2,2,CR-10816,205282,38168
2,3,CR-10565,203701,38134
3,3,CR-10196,203701,38134
1,3,CR-10378,203701,38134
2,2,CR-10680,204096,38161
1,2,CR-10815,204096,38161
1,2,CR-10965,204291,38151
2,2,CR-10894,204291,38151
2,3,CR-10843,204885,38154
3,3,CR-10255,204885,38154
1,3,CR-10691,204885,38154
20,31,CR-10506,202120,38114
26,31,CR-10385,202120,38114
31,31,CR-10196,202120,38114
2,31,CR-10855,202120,38114
18,31,CR-10609,202120,38114
7,31,CR-10317,202120,38114
29,31,CR-10569,202120,38142
6,31,CR-11000,202120,38114
17,31,CR-10972,202120,38114
4,31,CR-10254,202120,38114
28,31,CR-10089,202120,38114
19,31,CR-10252,202120,38114
11,31,CR-10642,202120,38114
8,31,CR-10383,202120,38114
12,31,CR-10022,202120,38128
16,31,CR-10408,202120,38114
1,31,CR-10950,202120,38128
30,31,CR-10841,202120,38114
9,31,CR-10967,202120,38114
5,31,CR-10204,202120,38114
23,31,CR-10235,202120,38114
25,31,CR-10818,202120,38114
10,31,CR-10029,202120,38142
15,31,CR-10873,202120,38114
21,31,CR-10880,202120,38114
24,31,CR-10490,202120,38114
27,31,CR-10867,202120,38114
22,31,CR-10667,202120,38128
3,31,CR-10107,202120,38114
13,31,CR-10893,202120,38128
14,31,CR-10312,202120,38114
2,4,CR-10393,202505,38116
1,4,CR-10654,202505,38116
3,4,CR-10266,202505,38140
4,4,CR-10656,202505,38140
2,3,CR-10505,202701,38127
3,3,CR-10415,202701,38119
1,3,CR-10814,202701,38127
1,1,CR-10588,203097,38122
4,6,CR-10347,201722,38107
3,6,CR-10813,201722,38121
2,6,CR-10680,201722,38121
5,6,CR-10412,201722,38107
1,6,CR-10311,201722,38107
6,6,CR-10311,201722,38107
1,1,CR-10609,200065,38119
1,1,CR-10644,200523,38253
1,2,CR-10834,201080,38136
2,2,CR-10377,201080,38136
2,2,CR-10734,201295,38106
1,2,CR-10899,201295,38106
1,1,CR-10270,213358,38281
2,2,CR-10849,213785,38287
1,2,CR-10190,213785,38287
2,3,CR-10584,214223,38294
3,3,CR-10850,214223,38294
1,3,CR-10260,214223,38294
1,3,CR-10254,214440,38296
2,3,CR-10949,214440,38296
3,3,CR-10949,214440,38296
1,1,CR-10830,214672,38297
1,2,CR-10592,215127,38304
2,2,CR-10475,215127,38304
1,3,CR-10944,210372,38240
3,3,CR-10944,210372,38240
2,3,CR-10839,210372,38240
2,2,CR-10821,210565,38240
1,2,CR-10201,210565,38240
2,2,CR-10592,210964,38252
1,2,CR-10846,210964,38252
1,1,CR-10502,211169,38252
1,3,CR-10731,211360,38296
3,3,CR-10945,211360,38296
2,3,CR-10787,211360,38296
1,1,CR-10607,211960,38261
1,4,CR-10238,212156,38263
3,4,CR-10241,212156,38263
2,4,CR-10202,212156,38263
4,4,CR-10808,212156,38263
1,1,CR-10503,212346,38282
1,1,CR-10609,212550,38268
1,2,CR-10495,212742,38273
2,2,CR-10848,212742,38273
1,2,CR-10607,212949,38275
2,2,CR-10947,212949,38275
1,1,CR-10505,213154,38277
1,2,CR-10998,209213,38219
2,2,CR-10200,209213,38219
1,1,PC-10350,209622,38277
1,8,CR-10499,210000,38232
8,8,CR-10032,210000,38232
2,8,CR-10400,210000,38232
3,8,CR-10408,210000,38232
6,8,CR-10553,210000,38232
4,8,CR-10399,210000,38232
5,8,CR-10407,210000,38232
7,8,CR-10402,210000,38232
10,14,CR-10504,210184,38238
12,14,CR-10067,210184,38238
11,14,CR-10196,210184,38238
1,14,CR-10889,210184,38238
13,14,CR-10347,210184,38238
9,14,CR-10543,210184,38238
14,14,CR-10943,210184,38238
5,14,CR-10068,210184,38238
4,14,CR-11000,210184,38238
6,14,CR-10680,210184,38238
3,14,CR-10357,210184,38238
8,14,CR-10500,210184,38245
7,14,CR-10244,210184,38238
2,14,CR-10359,210184,38245
1,2,CR-10808,206878,38185
2,2,CR-10607,206878,38185
1,2,CR-10197,207070,38189
2,2,CR-10406,207070,38189
1,2,CR-10554,207461,38197
2,2,CR-10175,207461,38197
2,5,CR-10968,208046,38224
5,5,CR-10973,208046,38214
1,5,CR-10176,208046,38224
3,5,CR-10732,208046,38214
4,5,CR-10732,208046,38214
2,2,CR-10941,208234,38207
1,2,CR-10654,208234,38207
2,3,CR-10709,208430,38211
3,3,CR-10319,208430,38211
1,3,CR-10710,208430,38211
2,2,CR-10326,204490,38144
1,2,CR-10071,204490,38144
4,5,CR-10569,204686,38164
5,5,CR-10072,204686,38164
3,5,CR-10383,204686,38178
1,5,CR-10633,204686,38156
2,5,CR-10073,204686,38178
2,2,CR-10731,204884,38197
1,2,CR-10935,204884,38197
1,1,CR-10254,205281,38163
1,1,CR-10266,205481,38162
4,4,CR-10038,205876,38168
2,4,CR-10037,205876,38168
3,4,CR-10066,205876,38168
1,4,CR-10842,205876,38168
1,1,CR-10565,206071,38175
1,2,CR-10609,206465,38179
2,2,CR-10336,206465,38179
4,13,CR-10505,202897,38150
11,13,CR-10593,202897,38136
5,13,CR-10347,202897,38122
6,13,CR-10069,202897,38150
7,13,CR-10847,202897,38122
8,13,CR-10644,202897,38122
12,13,CR-10383,202897,38129
9,13,CR-10938,202897,38122
2,13,CR-10830,202897,38136
10,13,CR-10412,202897,38122
13,13,CR-10530,202897,38122
3,13,CR-10802,202897,38122
1,13,CR-10275,202897,38129
2,2,CR-10831,203095,38168
1,2,CR-10816,203095,38154
2,2,CR-10385,203296,38127
1,2,CR-10186,203296,38127
14,15,CR-10403,203502,38148
1,15,CR-10279,203502,38148
4,15,CR-10827,203502,38148
10,15,CR-10173,203502,38164
6,15,CR-10411,203502,38148
3,15,CR-10307,203502,38148
7,15,CR-10690,203502,38148
2,15,CR-10847,203502,38148
11,15,CR-10211,203502,38148
8,15,CR-10522,203502,38164
13,15,CR-10522,203502,38148
9,15,CR-10541,203502,38148
12,15,CR-10884,203502,38148
15,15,CR-10931,203502,38148
5,15,CR-10939,203502,38148
1,1,CR-10799,200522,38253
1,1,CR-10171,200563,38262
1,2,CR-10597,200772,38200
2,2,CR-10596,200772,38200
1,1,CR-10936,201508,38112
1,3,CR-10067,201721,38115
2,3,CR-10067,201721,38115
3,3,CR-10612,201721,38115
2,2,CR-10172,201910,38107
1,2,CR-10219,201910,38107
1,3,CR-10197,202119,38126
3,3,CR-10847,202119,38109
2,3,CR-10414,202119,38113
1,1,CR-10276,202504,38126
1,1,CR-10065,213784,38284
1,2,CR-10498,213994,38301
2,2,CR-10380,213994,38301
1,1,CR-10908,214439,38295
2,3,CR-10965,215126,38304
1,3,CR-10839,215126,38304
3,3,CR-10839,215126,38304
1,1,CR-10849,200064,38119
1,1,CR-10621,200154,38151
1,2,CR-10489,210765,38246
2,2,CR-10265,210765,38246
4,4,CR-10889,211167,38259
2,4,CR-10252,211167,38259
3,4,CR-10273,211167,38259
1,4,CR-10899,211167,38249
1,3,CR-10059,211359,38253
2,3,CR-10680,211359,38253
3,3,CR-10412,211359,38253
1,1,CR-10274,211755,38256
1,2,CR-10565,212155,38262
2,2,CR-10422,212155,38262
1,1,CR-10011,212345,38268
2,3,CR-10552,212549,38269
1,3,CR-10551,212549,38269
3,3,CR-10061,212549,38269
1,2,CR-10230,212741,38274
2,2,CR-10288,212741,38274
1,2,CR-10528,212947,38303
2,2,CR-10423,212947,38303
2,2,CR-10602,213357,38281
1,2,CR-10497,213357,38281
6,8,CR-10856,208429,38218
3,8,CR-10186,208429,38218
1,8,CR-10374,208429,38218
7,8,CR-10187,208429,38218
5,8,CR-10194,208429,38218
2,8,CR-10190,208429,38218
4,8,CR-10291,208429,38218
8,8,CR-10619,208429,38218
2,2,CR-10303,209212,38224
1,2,CR-10553,209212,38224
1,2,CR-10296,209426,38225
2,2,CR-10419,209426,38225
2,3,CR-10968,209620,38226
1,3,CR-10394,209620,38226
3,3,CR-10578,209620,38226
1,2,PC-10350,210183,38242
2,2,PC-10060,210183,38242
2,3,CR-10999,210371,38240
1,3,CR-10420,210371,38240
3,3,CR-10420,210371,38240
10,20,CR-10799,207267,38193
8,20,CR-10403,207267,38193
4,20,CR-10898,207267,38193
6,20,CR-10853,207267,38224
5,20,CR-10834,207267,38214
13,20,CR-10924,207267,38193
16,20,CR-10515,207267,38193
19,20,CR-10847,207267,38193
7,20,CR-10731,207267,38193
14,20,CR-10972,207267,38193
12,20,CR-10106,207267,38200
20,20,CR-10252,207267,38193
11,20,CR-10680,207267,38193
17,20,CR-10967,207267,38193
18,20,CR-10967,207267,38200
2,20,CR-10835,207267,38214
3,20,CR-10529,207267,38200
1,20,CR-10818,207267,38193
15,20,CR-10250,207267,38193
9,20,CR-10901,207267,38193
2,3,CR-10098,207460,38197
1,3,CR-10577,207460,38197
3,3,CR-10577,207460,38197
1,2,CR-10222,208045,38205
2,2,CR-10055,208045,38205
2,6,CR-10934,208233,38226
1,6,CR-10547,208233,38246
4,6,CR-10547,208233,38252
3,6,CR-10547,208233,38226
6,6,CR-10547,208233,38247
5,6,CR-10056,208233,38252
1,2,CR-10565,206070,38175
2,2,CR-10052,206070,38175
1,2,CR-10505,206464,38210
2,2,CR-10417,206464,38210
2,2,CR-10505,206657,38218
1,2,CR-10053,206657,38218
8,19,CR-10554,206877,38185
5,19,CR-10409,206877,38185
6,19,CR-10384,206877,38185
7,19,CR-10928,206877,38185
3,19,CR-10576,206877,38185
13,19,CR-10856,206877,38185
16,19,CR-10400,206877,38185
18,19,CR-10186,206877,38185
15,19,CR-10690,206877,38185
2,19,CR-10068,206877,38185
4,19,CR-10847,206877,38185
1,19,CR-10190,206877,38185
12,19,CR-10397,206877,38185
11,19,CR-10329,206877,38185
17,19,CR-10354,206877,38185
14,19,CR-10797,206877,38185
9,19,CR-10205,206877,38185
19,19,CR-10339,206877,38207
10,19,CR-10272,206877,38207
2,2,CR-10633,207069,38189
1,2,CR-10054,207069,38189
3,3,CR-10415,204489,38168
2,3,CR-10932,204489,38189
1,3,CR-10696,204489,38168
1,3,CR-10504,204685,38150
2,3,CR-10173,204685,38150
3,3,CR-10223,204685,38150
2,4,CR-10416,205077,38169
4,4,CR-10416,205077,38169
1,4,CR-10843,205077,38169
3,4,CR-10844,205077,38169
4,5,CR-10065,205280,38161
2,5,CR-10400,205280,38161
1,5,CR-10797,205280,38161
5,5,CR-10050,205280,38161
3,5,CR-10496,205280,38168
3,3,CR-10808,205480,38164
2,3,CR-10329,205480,38164
1,3,CR-10051,205480,38164
1,1,PC-10360,205676,38228
1,2,CR-10101,205875,38169
2,2,CR-10271,205875,38169
1,1,CR-10495,202699,38119
1,3,CR-10065,203094,38126
2,3,CR-10065,203094,38126
3,3,CR-10312,203094,38126
1,2,CR-10195,203295,38128
2,2,CR-10047,203295,38128
1,2,CR-10222,203699,38161
2,2,CR-10222,203699,38161
2,7,CR-10066,204094,38137
4,7,CR-10964,204094,38137
6,7,CR-10990,204094,38137
7,7,CR-10987,204094,38137
5,7,CR-10088,204094,38137
3,7,CR-10989,204094,38137
1,7,CR-10988,204094,38137
1,1,CR-11793,201720,38112
3,4,CR-10334,201909,38151
1,4,CR-10334,201909,38123
2,4,CR-10929,201909,38151
4,4,CR-10413,201909,38123
1,5,CR-10403,202308,38185
5,5,CR-10334,202308,38185
3,5,CR-10307,202308,38185
4,5,CR-10690,202308,38185
2,5,CR-10211,202308,38185
1,2,CR-10251,202503,38142
2,2,CR-10047,202503,38142
2,2,CR-10266,200153,38151
1,2,CR-10730,200153,38151
3,3,CR-10928,200453,38238
1,3,CR-10307,200453,38238
2,3,CR-10077,200453,38238
2,2,CR-10345,218792,38025
1,2,CR-10345,218792,38031
3,5,CR-10855,218951,38029
4,5,CR-10832,218951,38029
2,5,CR-10190,218951,38029
5,5,CR-10860,218951,38043
1,5,CR-10287,218951,38029
4,4,CR-10999,201293,38119
3,4,CR-10528,201293,38119
1,4,CR-10518,201293,38119
2,4,CR-10343,201293,38119
4,4,CR-10972,201507,38106
3,4,CR-10967,201507,38106
1,4,CR-10617,201507,38106
2,4,CR-10617,201507,38106
3,3,CR-10196,213152,38277
1,3,CR-10341,213152,38277
2,3,CR-10110,213152,38277
1,1,CR-10408,213356,38281
1,1,CR-10547,213783,38284
2,2,CR-10638,214221,38291
1,2,CR-10729,214221,38291
1,2,CR-10211,214438,38308
2,2,CR-11249,214438,38308
1,2,CR-10065,214669,38297
2,2,CR-10927,214669,38297
1,1,CR-10994,214886,38302
1,1,CR-10925,210370,38239
1,1,CR-10594,210563,38242
1,2,CR-10220,210764,38246
2,2,CR-10611,210764,38246
2,3,CR-10098,210962,38247
3,3,CR-10110,210962,38247
1,3,CR-10339,210962,38247
1,2,CR-10193,211166,38249
2,2,CR-10193,211166,38249
1,3,CR-10559,211358,38254
3,3,CR-10560,211358,38254
2,3,CR-11241,211358,38254
1,4,CR-10813,211754,38256
4,4,CR-10164,211754,38256
2,4,CR-10934,211754,38256
3,4,CR-10935,211754,38256
4,4,CR-10347,211958,38263
1,4,CR-10642,211958,38263
2,4,CR-10340,211958,38263
3,4,CR-10883,211958,38263
1,1,CR-10816,212154,38263
1,2,CR-10221,212740,38274
2,2,CR-10926,212740,38274
1,1,CR-10221,212946,38275
2,2,CR-10615,209211,38220
1,2,CR-10669,209211,38220
2,3,CR-10410,209619,38225
3,3,CR-10833,209619,38225
1,3,CR-10199,209619,38225
2,2,CR-10692,209998,38235
1,2,CR-10838,209998,38235
2,4,CR-10081,207654,38256
3,4,CR-10964,207654,38200
1,4,CR-10614,207654,38200
4,4,CR-10727,207654,38256
3,3,CR-10409,207851,38203
2,3,CR-10952,207851,38203
1,3,CR-10205,207851,38203
3,3,CR-10254,208044,38205
1,3,CR-10337,208044,38205
2,3,CR-10337,208044,38205
5,19,CR-10505,208232,38232
6,19,CR-10671,208232,38232
4,19,CR-10670,208232,38232
8,19,CR-10504,208232,38232
14,19,CR-10415,208232,38232
15,19,CR-10615,208232,38246
16,19,CR-10708,208232,38309
17,19,CR-10238,208232,38232
13,19,CR-10923,208232,38274
10,19,CR-10045,208232,38232
12,19,CR-10620,208232,38232
2,19,CR-10605,208232,38232
3,19,CR-10957,208232,38232
19,19,CR-10522,208232,38232
18,19,CR-10960,208232,38309
7,19,CR-10709,208232,38274
9,19,CR-10064,208232,38246
1,19,CR-10245,208232,38232
11,19,CR-10707,208232,38232
2,3,CR-10347,208428,38211
3,3,CR-10680,208428,38211
1,3,CR-10412,208428,38211
2,2,CR-10218,208617,38212
1,2,CR-10102,208617,38212
1,3,CR-10726,205479,38162
3,3,CR-10726,205479,38162
2,3,CR-10797,205479,38162
2,2,CR-10272,205874,38169
1,2,CR-10335,205874,38169
1,2,CR-10221,206069,38189
2,2,CR-10837,206069,38189
2,2,CR-11112,206264,38176
1,2,CR-10731,206264,38176
1,2,CR-10518,206463,38210
2,2,CR-10063,206463,38210
1,2,CR-10065,206656,38218
2,2,CR-10408,206656,38218
1,2,CR-10219,206876,38185
2,2,CR-10575,206876,38185
1,1,CR-10217,207266,38193
1,2,CR-10317,207459,38197
2,2,CR-10336,207459,38197
9,46,CR-10799,203093,38122
25,46,CR-10505,203093,38157
18,46,CR-10197,203093,38122
24,46,CR-10197,203093,38122
13,46,CR-10385,203093,38122
44,46,CR-10067,203093,38122
5,46,CR-10507,203093,38129
3,46,CR-10898,203093,38122
22,46,CR-10196,203093,38122
39,46,CR-10065,203093,38122
4,46,CR-10026,203093,38122
46,46,CR-10384,203093,38122
43,46,CR-10834,203093,38227
28,46,CR-10347,203093,38122
36,46,CR-10066,203093,38122
10,46,CR-10613,203093,38122
17,46,CR-10890,203093,38122
29,46,CR-10808,203093,38178
41,46,CR-10828,203093,38122
33,46,CR-10068,203093,38122
6,46,CR-11000,203093,38122
27,46,CR-10972,203093,38122
37,46,CR-10654,203093,38122
16,46,CR-10925,203093,38122
15,46,CR-10252,203093,38122
26,46,CR-10680,203093,38122
40,46,CR-10642,203093,38122
1,46,CR-10953,203093,38122
14,46,CR-10190,203093,38122
32,46,CR-10110,203093,38122
35,46,CR-10406,203093,38122
2,46,CR-10900,203093,38122
8,46,CR-10934,203093,38122
42,46,CR-10531,203093,38122
30,46,CR-10562,203093,38122
11,46,CR-10645,203093,38157
12,46,CR-10818,203093,38122
23,46,CR-10250,203093,38122
34,46,CR-10830,203093,38157
7,46,CR-10412,203093,38122
38,46,CR-10179,203093,38122
31,46,CR-10414,203093,38122
45,46,CR-10325,203093,38122
20,46,CR-10387,203093,38122
21,46,CR-10963,203093,38129
19,46,CR-10870,203093,38122
3,3,CR-10612,203500,38141
2,3,CR-10556,203500,38141
1,3,CR-10556,203500,38137
2,2,CR-10003,204288,38150
1,2,CR-10646,204288,38150
1,1,CR-10811,204488,38147
4,4,CR-10499,204684,38154
3,4,CR-10501,204684,38154
1,4,CR-10333,204684,38154
2,4,CR-10333,204684,38154
1,2,CR-10613,204882,38150
2,2,CR-10984,204882,38150
1,3,CR-10334,205279,38157
3,3,CR-10046,205279,38157
2,3,CR-10485,205279,38157
2,2,CR-10383,201292,38113
1,2,CR-10694,201292,38113
1,1,CR-10405,202117,38109
2,2,CR-10695,202307,38116
1,2,CR-10014,202307,38116
2,3,CR-10644,202502,38114
3,3,CR-10644,202502,38114
1,3,CR-10706,202502,38114
1,1,CR-10332,202698,38116
1,1,CR-10095,200395,38214
1,2,CR-10654,213992,38289
2,2,CR-10572,213992,38289
7,8,CR-10855,214220,38294
8,8,CR-10856,214220,38294
4,8,CR-10186,214220,38294
6,8,CR-10187,214220,38294
5,8,CR-10194,214220,38294
1,8,CR-10383,214220,38294
3,8,CR-10190,214220,38294
