Sales by Customer by YearQuarter,Low,High
108659.09,"$100,000","$250,000"
16251.73,"$5,000","$25,000"
795.45,$1,"$1,000"
21609.11,"$5,000","$25,000"
44264.87,"$25,000","$100,000"
1112.15,"$1,000","$2,000"
41164.2,"$25,000","$100,000"
3229.24,"$2,000","$5,000"
46744.26,"$25,000","$100,000"
100711.61,"$100,000","$250,000"
48979.88,"$25,000","$100,000"
165052.27,"$100,000","$250,000"
12702.21,"$5,000","$25,000"
49134.18,"$25,000","$100,000"
14723.27,"$5,000","$25,000"
3518.16,"$2,000","$5,000"
-5747.32,"($99,000)",$1
2994,"$2,000","$5,000"
48352.51,"$25,000","$100,000"
56918.36,"$25,000","$100,000"
643308.1,"$500,000","$1,000,000"
2439.64,"$2,000","$5,000"
21371.96,"$5,000","$25,000"
367.16,$1,"$1,000"
12535.94,"$5,000","$25,000"
3101.1,"$2,000","$5,000"
30224.53,"$25,000","$100,000"
13362.09,"$5,000","$25,000"
522.63,$1,"$1,000"
9468.57,"$5,000","$25,000"
44170.37,"$25,000","$100,000"
22657.32,"$5,000","$25,000"
9126.83,"$5,000","$25,000"
102040.05,"$100,000","$250,000"
-1209.81,"($99,000)",$1
187176.25,"$100,000","$250,000"
15924.14,"$5,000","$25,000"
130948.88,"$100,000","$250,000"
2934605.05,"$1,000,000","$9,999,999"
58435.98,"$25,000","$100,000"
47802.78,"$25,000","$100,000"
2289.2,"$2,000","$5,000"
3031798.55,"$1,000,000","$9,999,999"
27158.74,"$25,000","$100,000"
787.54,$1,"$1,000"
297234.32,"$250,000","$500,000"
3392.74,"$2,000","$5,000"
15361.25,"$5,000","$25,000"
752.16,$1,"$1,000"
149.32,$1,"$1,000"
2279.95,"$2,000","$5,000"
7722.33,"$5,000","$25,000"
20755.01,"$5,000","$25,000"
891.09,$1,"$1,000"
15642.65,"$5,000","$25,000"
6638.48,"$5,000","$25,000"
3186.14,"$2,000","$5,000"
7107.99,"$5,000","$25,000"
89361.11,"$25,000","$100,000"
16572.12,"$5,000","$25,000"
1385.2,"$1,000","$2,000"
11334.38,"$5,000","$25,000"
145095.26,"$100,000","$250,000"
3474.84,"$2,000","$5,000"
19356.75,"$5,000","$25,000"
1585.13,"$1,000","$2,000"
1348.46,"$1,000","$2,000"
11813.69,"$5,000","$25,000"
180.96,$1,"$1,000"
1194.34,"$1,000","$2,000"
434.3,$1,"$1,000"
470.17,$1,"$1,000"
542.88,$1,"$1,000"
-32.16,"($99,000)",$1
2966,"$2,000","$5,000"
1067.61,"$1,000","$2,000"
3460.74,"$2,000","$5,000"
5240.79,"$5,000","$25,000"
7754.68,"$5,000","$25,000"
4123.24,"$2,000","$5,000"
497.43,$1,"$1,000"
1178.23,"$1,000","$2,000"
57960.62,"$25,000","$100,000"
11661.92,"$5,000","$25,000"
8016.4,"$5,000","$25,000"
195149.95,"$100,000","$250,000"
4149.36,"$2,000","$5,000"
10813.26,"$5,000","$25,000"
3.89,$1,"$1,000"
4472.74,"$2,000","$5,000"
5476.89,"$5,000","$25,000"
5535.35,"$5,000","$25,000"
1941.87,"$1,000","$2,000"
2379.75,"$2,000","$5,000"
27252.64,"$25,000","$100,000"
14391.44,"$5,000","$25,000"
59029.91,"$25,000","$100,000"
1949.17,"$1,000","$2,000"
919.67,$1,"$1,000"
1277.03,"$1,000","$2,000"
34420.32,"$25,000","$100,000"
3798.3,"$2,000","$5,000"
200551.5,"$100,000","$250,000"
2212.5,"$2,000","$5,000"
856.27,$1,"$1,000"
2095.28,"$2,000","$5,000"
27933.84,"$25,000","$100,000"
3532.09,"$2,000","$5,000"
21501.4,"$5,000","$25,000"
16123.52,"$5,000","$25,000"
5153.86,"$5,000","$25,000"
510.98,$1,"$1,000"
490.68,$1,"$1,000"
516,$1,"$1,000"
6375.45,"$5,000","$25,000"
7901.82,"$5,000","$25,000"
3028.13,"$2,000","$5,000"
5825.3,"$5,000","$25,000"
35061.78,"$25,000","$100,000"
49448.83,"$25,000","$100,000"
28727.06,"$25,000","$100,000"
239.47,$1,"$1,000"
8238.94,"$5,000","$25,000"
18888.08,"$5,000","$25,000"
19290.7,"$5,000","$25,000"
55.54,$1,"$1,000"
2965.28,"$2,000","$5,000"
13701.98,"$5,000","$25,000"
-1105.96,"($99,000)",$1
2888.95,"$2,000","$5,000"
314.78,$1,"$1,000"
2217.38,"$2,000","$5,000"
3944.63,"$2,000","$5,000"
28799.14,"$25,000","$100,000"
14217.75,"$5,000","$25,000"
36107.79,"$25,000","$100,000"
42794.79,"$25,000","$100,000"
1718.52,"$1,000","$2,000"
1904.34,"$1,000","$2,000"
5438.64,"$5,000","$25,000"
9505.16,"$5,000","$25,000"
2822.04,"$2,000","$5,000"
14520,"$5,000","$25,000"
540.96,$1,"$1,000"
1757.5,"$1,000","$2,000"
6785.95,"$5,000","$25,000"
644,$1,"$1,000"
1608.01,"$1,000","$2,000"
2444.56,"$2,000","$5,000"
559.63,$1,"$1,000"
600.88,$1,"$1,000"
262.79,$1,"$1,000"
469.61,$1,"$1,000"
72.85,$1,"$1,000"
369.4,$1,"$1,000"
-133.55,"($99,000)",$1
641366.63,"$500,000","$1,000,000"
40.05,$1,"$1,000"
4438.07,"$2,000","$5,000"
3966.55,"$2,000","$5,000"
1663.83,"$1,000","$2,000"
5298.23,"$5,000","$25,000"
55162.34,"$25,000","$100,000"
1031.64,"$1,000","$2,000"
437.37,$1,"$1,000"
10879.21,"$5,000","$25,000"
367.05,$1,"$1,000"
1461,"$1,000","$2,000"
8505.6,"$5,000","$25,000"
487.87,$1,"$1,000"
984.35,$1,"$1,000"
3274.49,"$2,000","$5,000"
34582.57,"$25,000","$100,000"
1583.11,"$1,000","$2,000"
788.9,$1,"$1,000"
4700.39,"$2,000","$5,000"
8.24,$1,"$1,000"
33217.43,"$25,000","$100,000"
178,$1,"$1,000"
804.63,$1,"$1,000"
8634.61,"$5,000","$25,000"
13.57,$1,"$1,000"
5861.62,"$5,000","$25,000"
14161.15,"$5,000","$25,000"
1154.71,"$1,000","$2,000"
1317.5,"$1,000","$2,000"
832.42,$1,"$1,000"
958.2,$1,"$1,000"
1654.55,"$1,000","$2,000"
521.84,$1,"$1,000"
767.51,$1,"$1,000"
-3229.46,"($99,000)",$1
859.66,$1,"$1,000"
42405.27,"$25,000","$100,000"
873.59,$1,"$1,000"
2663,"$2,000","$5,000"
277.79,$1,"$1,000"
2705.78,"$2,000","$5,000"
637.13,$1,"$1,000"
6736.93,"$5,000","$25,000"
372.44,$1,"$1,000"
4.38,$1,"$1,000"
3320.34,"$2,000","$5,000"
10744.75,"$5,000","$25,000"
281.28,$1,"$1,000"
161.06,$1,"$1,000"
4366.6,"$2,000","$5,000"
21182.52,"$5,000","$25,000"
3217.08,"$2,000","$5,000"
2366.29,"$2,000","$5,000"
665.1,$1,"$1,000"
1691.95,"$1,000","$2,000"
30556.13,"$25,000","$100,000"
50.85,$1,"$1,000"
74.51,$1,"$1,000"
14593,"$5,000","$25,000"
494.91,$1,"$1,000"
10563.5,"$5,000","$25,000"
726.94,$1,"$1,000"
230,$1,"$1,000"
2238.53,"$2,000","$5,000"
471.08,$1,"$1,000"
365201.81,"$250,000","$500,000"
83351.22,"$25,000","$100,000"
9189.77,"$5,000","$25,000"
100642.15,"$100,000","$250,000"
32747.19,"$25,000","$100,000"
171691.98,"$100,000","$250,000"
771677.07,"$500,000","$1,000,000"
29482.36,"$25,000","$100,000"
17271.56,"$5,000","$25,000"
193343.63,"$100,000","$250,000"
26424.36,"$25,000","$100,000"
1080.87,"$1,000","$2,000"
106070.7,"$100,000","$250,000"
251393.92,"$250,000","$500,000"
20181.64,"$5,000","$25,000"
19991.88,"$5,000","$25,000"
34023.19,"$25,000","$100,000"
230657.14,"$100,000","$250,000"
19161.85,"$5,000","$25,000"
494531.68,"$250,000","$500,000"
315446.56,"$250,000","$500,000"
48905.52,"$25,000","$100,000"
177697.41,"$100,000","$250,000"
23102.26,"$5,000","$25,000"
75680.63,"$25,000","$100,000"
55462.16,"$25,000","$100,000"
141535.89,"$100,000","$250,000"
574556.48,"$500,000","$1,000,000"
22898.03,"$5,000","$25,000"
20403.21,"$5,000","$25,000"
257855.03,"$250,000","$500,000"
211340.82,"$100,000","$250,000"
176061,"$100,000","$250,000"
31455.79,"$25,000","$100,000"
20060.96,"$5,000","$25,000"
11698.86,"$5,000","$25,000"
7372.07,"$5,000","$25,000"
3069.72,"$2,000","$5,000"
59533.79,"$25,000","$100,000"
21560.55,"$5,000","$25,000"
5108.33,"$5,000","$25,000"
13660.41,"$5,000","$25,000"
51253.62,"$25,000","$100,000"
267473.62,"$250,000","$500,000"
66421.56,"$25,000","$100,000"
1435.47,"$1,000","$2,000"
9310.81,"$5,000","$25,000"
31074.34,"$25,000","$100,000"
17664.74,"$5,000","$25,000"
83124.67,"$25,000","$100,000"
2843.65,"$2,000","$5,000"
24919.34,"$5,000","$25,000"
257946.94,"$250,000","$500,000"
12916.39,"$5,000","$25,000"
6122.8,"$5,000","$25,000"
13985.57,"$5,000","$25,000"
6930.89,"$5,000","$25,000"
7971.62,"$5,000","$25,000"
1773.34,"$1,000","$2,000"
35698.86,"$25,000","$100,000"
44389.88,"$25,000","$100,000"
-141.5,"($99,000)",$1
3587,"$2,000","$5,000"
15796.63,"$5,000","$25,000"
5755.65,"$5,000","$25,000"
99387.7,"$25,000","$100,000"
18897.08,"$5,000","$25,000"
3705.56,"$2,000","$5,000"
6134.42,"$5,000","$25,000"
49177.03,"$25,000","$100,000"
57578.95,"$25,000","$100,000"
396.09,$1,"$1,000"
13990.81,"$5,000","$25,000"
44480.33,"$25,000","$100,000"
1499.98,"$1,000","$2,000"
75.64,$1,"$1,000"
6894.79,"$5,000","$25,000"
138665.84,"$100,000","$250,000"
69314.28,"$25,000","$100,000"
30004.23,"$25,000","$100,000"
30406.26,"$25,000","$100,000"
3766.62,"$2,000","$5,000"
4279.84,"$2,000","$5,000"
52502.32,"$25,000","$100,000"
27207.89,"$25,000","$100,000"
45776.44,"$25,000","$100,000"
23836.58,"$5,000","$25,000"
73733.69,"$25,000","$100,000"
1822.91,"$1,000","$2,000"
29503.68,"$25,000","$100,000"
9552.46,"$5,000","$25,000"
260468.59,"$250,000","$500,000"
1449.46,"$1,000","$2,000"
26433.8,"$25,000","$100,000"
6230.82,"$5,000","$25,000"
59763.4,"$25,000","$100,000"
114621.65,"$100,000","$250,000"
11319.34,"$5,000","$25,000"
6181.8,"$5,000","$25,000"
106498.78,"$100,000","$250,000"
17419.73,"$5,000","$25,000"
13295.5,"$5,000","$25,000"
10786.35,"$5,000","$25,000"
4294.37,"$2,000","$5,000"
32719.18,"$25,000","$100,000"
184657.61,"$100,000","$250,000"
48331.52,"$25,000","$100,000"
16295.19,"$5,000","$25,000"
51167.99,"$25,000","$100,000"
236053.77,"$100,000","$250,000"
101627.52,"$100,000","$250,000"
209331.44,"$100,000","$250,000"
132585.38,"$100,000","$250,000"
8721.46,"$5,000","$25,000"
848.31,$1,"$1,000"
25884.65,"$25,000","$100,000"
477337.53,"$250,000","$500,000"
21402.08,"$5,000","$25,000"
47636.06,"$25,000","$100,000"
21827.55,"$5,000","$25,000"
2975.14,"$2,000","$5,000"
21954.92,"$5,000","$25,000"
7577.2,"$5,000","$25,000"
3604.62,"$2,000","$5,000"
157338.97,"$100,000","$250,000"
28171.34,"$25,000","$100,000"
14424.46,"$5,000","$25,000"
18257.08,"$5,000","$25,000"
5443.74,"$5,000","$25,000"
56283.17,"$25,000","$100,000"
10831.41,"$5,000","$25,000"
17520.95,"$5,000","$25,000"
150000,"$100,000","$250,000"
2744.81,"$2,000","$5,000"
2142570.14,"$1,000,000","$9,999,999"
20430.06,"$5,000","$25,000"
1289.31,"$1,000","$2,000"
77340.83,"$25,000","$100,000"
93168.45,"$25,000","$100,000"
25814.85,"$25,000","$100,000"
9872.1,"$5,000","$25,000"
11757.05,"$5,000","$25,000"
1137.67,"$1,000","$2,000"
6957.37,"$5,000","$25,000"
64864.28,"$25,000","$100,000"
38184.28,"$25,000","$100,000"
499799.91,"$250,000","$500,000"
16249.65,"$5,000","$25,000"
25270.04,"$25,000","$100,000"
6522.03,"$5,000","$25,000"
11567.92,"$5,000","$25,000"
63138.76,"$25,000","$100,000"
2080045.32,"$1,000,000","$9,999,999"
5145.03,"$5,000","$25,000"
64200.01,"$25,000","$100,000"
162791.19,"$100,000","$250,000"
49046.8,"$25,000","$100,000"
14530.27,"$5,000","$25,000"
14382.06,"$5,000","$25,000"
32123.71,"$25,000","$100,000"
10327.25,"$5,000","$25,000"
43172.68,"$25,000","$100,000"
158493.11,"$100,000","$250,000"
-882.4,"($99,000)",$1
3312.74,"$2,000","$5,000"
2316.76,"$2,000","$5,000"
30052.6,"$25,000","$100,000"
159256.82,"$100,000","$250,000"
1275.99,"$1,000","$2,000"
12915.22,"$5,000","$25,000"
26083.4,"$25,000","$100,000"
7746.55,"$5,000","$25,000"
6779.18,"$5,000","$25,000"
28305.65,"$25,000","$100,000"
743.74,$1,"$1,000"
33731.81,"$25,000","$100,000"
12729.41,"$5,000","$25,000"
49316.56,"$25,000","$100,000"
1934.87,"$1,000","$2,000"
15500.55,"$5,000","$25,000"
22645.44,"$5,000","$25,000"
1203.45,"$1,000","$2,000"
400.73,$1,"$1,000"
1287.01,"$1,000","$2,000"
4411.98,"$2,000","$5,000"
3947.29,"$2,000","$5,000"
2770.82,"$2,000","$5,000"
1000.25,"$1,000","$2,000"
4496.12,"$2,000","$5,000"
8858.04,"$5,000","$25,000"
17141.75,"$5,000","$25,000"
5688.54,"$5,000","$25,000"
339.08,$1,"$1,000"
35162.95,"$25,000","$100,000"
925.28,$1,"$1,000"
23089.83,"$5,000","$25,000"
12834.74,"$5,000","$25,000"
17449.4,"$5,000","$25,000"
7943.89,"$5,000","$25,000"
-700.73,"($99,000)",$1
590.38,$1,"$1,000"
2817.49,"$2,000","$5,000"
877289.82,"$500,000","$1,000,000"
202972.54,"$100,000","$250,000"
1656.62,"$1,000","$2,000"
5034.17,"$5,000","$25,000"
917169.88,"$500,000","$1,000,000"
607.24,$1,"$1,000"
9884.86,"$5,000","$25,000"
2053.12,"$2,000","$5,000"
844.09,$1,"$1,000"
1127,"$1,000","$2,000"
1582.2,"$1,000","$2,000"
8863.34,"$5,000","$25,000"
43779,"$25,000","$100,000"
8556.64,"$5,000","$25,000"
28577.38,"$25,000","$100,000"
308.08,$1,"$1,000"
7153.31,"$5,000","$25,000"
7951.87,"$5,000","$25,000"
10248.57,"$5,000","$25,000"
10328.1,"$5,000","$25,000"
14590.99,"$5,000","$25,000"
367.45,$1,"$1,000"
13191.08,"$5,000","$25,000"
5668.06,"$5,000","$25,000"
149.15,$1,"$1,000"
8335.76,"$5,000","$25,000"
191.73,$1,"$1,000"
64.56,$1,"$1,000"
133.8,$1,"$1,000"
2529.7,"$2,000","$5,000"
1214.85,"$1,000","$2,000"
119880,"$100,000","$250,000"
1617600,"$1,000,000","$9,999,999"
1613.18,"$1,000","$2,000"
20894.27,"$5,000","$25,000"
1115.26,"$1,000","$2,000"
17471.16,"$5,000","$25,000"
5224.77,"$5,000","$25,000"
14944.06,"$5,000","$25,000"
1130.65,"$1,000","$2,000"
4170.94,"$2,000","$5,000"
4314.41,"$2,000","$5,000"
2436.77,"$2,000","$5,000"
5961.8,"$5,000","$25,000"
1176.37,"$1,000","$2,000"
3113.75,"$2,000","$5,000"
14434.03,"$5,000","$25,000"
21243.1,"$5,000","$25,000"
21186.52,"$5,000","$25,000"
82770.08,"$25,000","$100,000"
1588.22,"$1,000","$2,000"
13393.59,"$5,000","$25,000"
10006.13,"$5,000","$25,000"
303.96,$1,"$1,000"
8216.31,"$5,000","$25,000"
6478.31,"$5,000","$25,000"
385.65,$1,"$1,000"
3313.66,"$2,000","$5,000"
2606.35,"$2,000","$5,000"
5862.91,"$5,000","$25,000"
7631,"$5,000","$25,000"
10102.29,"$5,000","$25,000"
16923.49,"$5,000","$25,000"
22.84,$1,"$1,000"
442.26,$1,"$1,000"
1903.57,"$1,000","$2,000"
1538.4,"$1,000","$2,000"
5024.35,"$5,000","$25,000"
891.97,$1,"$1,000"
3578.84,"$2,000","$5,000"
5140.33,"$5,000","$25,000"
5998.8,"$5,000","$25,000"
37.89,$1,"$1,000"
11844.92,"$5,000","$25,000"
547.16,$1,"$1,000"
2710.02,"$2,000","$5,000"
8542.87,"$5,000","$25,000"
6.35,$1,"$1,000"
6862.03,"$5,000","$25,000"
109353.77,"$100,000","$250,000"
37.01,$1,"$1,000"
7619.03,"$5,000","$25,000"
2801.13,"$2,000","$5,000"
689.73,$1,"$1,000"
282.73,$1,"$1,000"
2783.29,"$2,000","$5,000"
9120,"$5,000","$25,000"
-0.0099999999999909,"($99,000)",$1
3261.95,"$2,000","$5,000"
590.68,$1,"$1,000"
5321.41,"$5,000","$25,000"
137.36,$1,"$1,000"
1114.23,"$1,000","$2,000"
54300.2,"$25,000","$100,000"
480.99,$1,"$1,000"
1277.76,"$1,000","$2,000"
3966.32,"$2,000","$5,000"
6433.95,"$5,000","$25,000"
9153.26,"$5,000","$25,000"
4494.45,"$2,000","$5,000"
315.76,$1,"$1,000"
588.71,$1,"$1,000"
250,$1,"$1,000"
97.19,$1,"$1,000"
9682.56,"$5,000","$25,000"
1426.57,"$1,000","$2,000"
1985.4,"$1,000","$2,000"
2436.76,"$2,000","$5,000"
1785.53,"$1,000","$2,000"
15388.5,"$5,000","$25,000"
64.41,$1,"$1,000"
61585.44,"$25,000","$100,000"
2677.1,"$2,000","$5,000"
612.81,$1,"$1,000"
3218.88,"$2,000","$5,000"
32651.13,"$25,000","$100,000"
946.66,$1,"$1,000"
302.96,$1,"$1,000"
7.07,$1,"$1,000"
133.9,$1,"$1,000"
3888.24,"$2,000","$5,000"
29.37,$1,"$1,000"
369.57,$1,"$1,000"
136.88,$1,"$1,000"
8505.52,"$5,000","$25,000"
2790.91,"$2,000","$5,000"
1227.83,"$1,000","$2,000"
29666.01,"$25,000","$100,000"
34493.57,"$25,000","$100,000"
14.58,$1,"$1,000"
2524.38,"$2,000","$5,000"
700.99,$1,"$1,000"
336.08,$1,"$1,000"
158.26,$1,"$1,000"
21600.39,"$5,000","$25,000"
621283.1,"$500,000","$1,000,000"
14396.65,"$5,000","$25,000"
5049.88,"$5,000","$25,000"
357.5,$1,"$1,000"
16162.46,"$5,000","$25,000"
27853.15,"$25,000","$100,000"
37291.86,"$25,000","$100,000"
65152.13,"$25,000","$100,000"
261580.65,"$250,000","$500,000"
203900.67,"$100,000","$250,000"
30619.16,"$25,000","$100,000"
4240.87,"$2,000","$5,000"
87696.25,"$25,000","$100,000"
329.91,$1,"$1,000"
16267.93,"$5,000","$25,000"
134370.85,"$100,000","$250,000"
435.91,$1,"$1,000"
43068.65,"$25,000","$100,000"
3002.64,"$2,000","$5,000"
65101.56,"$25,000","$100,000"
48490.48,"$25,000","$100,000"
3365.49,"$2,000","$5,000"
65421.37,"$25,000","$100,000"
3165.36,"$2,000","$5,000"
17238.04,"$5,000","$25,000"
551851.18,"$500,000","$1,000,000"
13013.52,"$5,000","$25,000"
31350.95,"$25,000","$100,000"
6526.5,"$5,000","$25,000"
13676.39,"$5,000","$25,000"
80220.64,"$25,000","$100,000"
205118.66,"$100,000","$250,000"
8833.76,"$5,000","$25,000"
46658.49,"$25,000","$100,000"
83608.13,"$25,000","$100,000"
28756.79,"$25,000","$100,000"
5136.13,"$5,000","$25,000"
76165.8,"$25,000","$100,000"
51549.36,"$25,000","$100,000"
43912.22,"$25,000","$100,000"
100810.47,"$100,000","$250,000"
39845.35,"$25,000","$100,000"
1078.15,"$1,000","$2,000"
10420.26,"$5,000","$25,000"
229406.12,"$100,000","$250,000"
55505.3,"$25,000","$100,000"
337197.23,"$250,000","$500,000"
180637.77,"$100,000","$250,000"
14768.22,"$5,000","$25,000"
44188.9,"$25,000","$100,000"
14907.67,"$5,000","$25,000"
364200.1,"$250,000","$500,000"
183415.29,"$100,000","$250,000"
35894.34,"$25,000","$100,000"
5557.99,"$5,000","$25,000"
21972.52,"$5,000","$25,000"
705.28,$1,"$1,000"
2422.23,"$2,000","$5,000"
697436.52,"$500,000","$1,000,000"
3548,"$2,000","$5,000"
135127.4,"$100,000","$250,000"
36674.77,"$25,000","$100,000"
109169.51,"$100,000","$250,000"
240109.47,"$100,000","$250,000"
7568.98,"$5,000","$25,000"
6567.78,"$5,000","$25,000"
1581.03,"$1,000","$2,000"
2872.17,"$2,000","$5,000"
62688.97,"$25,000","$100,000"
79384.59,"$25,000","$100,000"
48094.69,"$25,000","$100,000"
65708.8,"$25,000","$100,000"
645042.97,"$500,000","$1,000,000"
10237.17,"$5,000","$25,000"
2816.21,"$2,000","$5,000"
21296.59,"$5,000","$25,000"
105884.99,"$100,000","$250,000"
97713.65,"$25,000","$100,000"
49623.59,"$25,000","$100,000"
126928.92,"$100,000","$250,000"
50746.9,"$25,000","$100,000"
-1127.65,"($99,000)",$1
102961.72,"$100,000","$250,000"
16833.46,"$5,000","$25,000"
9074.41,"$5,000","$25,000"
10588,"$5,000","$25,000"
44193.25,"$25,000","$100,000"
22724.86,"$5,000","$25,000"
14680.46,"$5,000","$25,000"
504.84,$1,"$1,000"
13544.52,"$5,000","$25,000"
29628.93,"$25,000","$100,000"
17921.18,"$5,000","$25,000"
4362.85,"$2,000","$5,000"
13221.89,"$5,000","$25,000"
48155.63,"$25,000","$100,000"
2284.55,"$2,000","$5,000"
119291.73,"$100,000","$250,000"
164790.52,"$100,000","$250,000"
7947.74,"$5,000","$25,000"
27938.18,"$25,000","$100,000"
716.1,$1,"$1,000"
297247.02,"$250,000","$500,000"
16363.29,"$5,000","$25,000"
132416.9,"$100,000","$250,000"
102283.33,"$100,000","$250,000"
188362.61,"$100,000","$250,000"
188868.12,"$100,000","$250,000"
8178.97,"$5,000","$25,000"
20896.3,"$5,000","$25,000"
117076.36,"$100,000","$250,000"
7527.23,"$5,000","$25,000"
16231.16,"$5,000","$25,000"
647281.69,"$500,000","$1,000,000"
2952028.08,"$1,000,000","$9,999,999"
720.83,$1,"$1,000"
15329.53,"$5,000","$25,000"
17422.81,"$5,000","$25,000"
1853.32,"$1,000","$2,000"
48478.12,"$25,000","$100,000"
5825.34,"$5,000","$25,000"
120911.97,"$100,000","$250,000"
16422.13,"$5,000","$25,000"
280167.5,"$250,000","$500,000"
1259.76,"$1,000","$2,000"
11330.38,"$5,000","$25,000"
145292.7,"$100,000","$250,000"
3003.14,"$2,000","$5,000"
24226.58,"$5,000","$25,000"
682.64,$1,"$1,000"
6488.45,"$5,000","$25,000"
579531.11,"$500,000","$1,000,000"
94952.49,"$25,000","$100,000"
1520.71,"$1,000","$2,000"
1456604.38,"$1,000,000","$9,999,999"
2089.55,"$2,000","$5,000"
20752.6,"$5,000","$25,000"
6215.77,"$5,000","$25,000"
11495.23,"$5,000","$25,000"
28424,"$25,000","$100,000"
80914.94,"$25,000","$100,000"
725.23,$1,"$1,000"
10265.32,"$5,000","$25,000"
997.03,$1,"$1,000"
485.33,$1,"$1,000"
18085.13,"$5,000","$25,000"
3981.11,"$2,000","$5,000"
20659.91,"$5,000","$25,000"
3075.31,"$2,000","$5,000"
10985.31,"$5,000","$25,000"
2502.38,"$2,000","$5,000"
13666.18,"$5,000","$25,000"
1214.75,"$1,000","$2,000"
11289.17,"$5,000","$25,000"
302445.13,"$250,000","$500,000"
4475.81,"$2,000","$5,000"
124.76,$1,"$1,000"
4866.82,"$2,000","$5,000"
5576.02,"$5,000","$25,000"
29090.01,"$25,000","$100,000"
14175.78,"$5,000","$25,000"
1885.59,"$1,000","$2,000"
11302.96,"$5,000","$25,000"
5287.03,"$5,000","$25,000"
164974.27,"$100,000","$250,000"
59078.74,"$25,000","$100,000"
2332.15,"$2,000","$5,000"
360235.27,"$250,000","$500,000"
18375.25,"$5,000","$25,000"
195074.18,"$100,000","$250,000"
5680.42,"$5,000","$25,000"
5662.79,"$5,000","$25,000"
14006.49,"$5,000","$25,000"
3850.35,"$2,000","$5,000"
1524.65,"$1,000","$2,000"
887.76,$1,"$1,000"
80137.56,"$25,000","$100,000"
1213.93,"$1,000","$2,000"
11611.53,"$5,000","$25,000"
110709.39,"$100,000","$250,000"
4865.57,"$2,000","$5,000"
102706.11,"$100,000","$250,000"
89514,"$25,000","$100,000"
95548.31,"$25,000","$100,000"
3247.85,"$2,000","$5,000"
20296.5,"$5,000","$25,000"
15438.3,"$5,000","$25,000"
11673.11,"$5,000","$25,000"
2063.99,"$2,000","$5,000"
331.93,$1,"$1,000"
5118.71,"$5,000","$25,000"
28976.65,"$25,000","$100,000"
8977.41,"$5,000","$25,000"
7832.08,"$5,000","$25,000"
3013.99,"$2,000","$5,000"
34688.32,"$25,000","$100,000"
84461.66,"$25,000","$100,000"
779.42,$1,"$1,000"
49475.22,"$25,000","$100,000"
8178.16,"$5,000","$25,000"
6922.28,"$5,000","$25,000"
28891.67,"$25,000","$100,000"
218.27,$1,"$1,000"
8084.9,"$5,000","$25,000"
49192.09,"$25,000","$100,000"
2822.32,"$2,000","$5,000"
18888.08,"$5,000","$25,000"
1636.77,"$1,000","$2,000"
643.26,$1,"$1,000"
866.11,$1,"$1,000"
13595.85,"$5,000","$25,000"
2859.49,"$2,000","$5,000"
3556.39,"$2,000","$5,000"
19237.51,"$5,000","$25,000"
338370.76,"$250,000","$500,000"
30118.53,"$25,000","$100,000"
2120.1,"$2,000","$5,000"
261.23,$1,"$1,000"
14038.53,"$5,000","$25,000"
38804.43,"$25,000","$100,000"
21125.91,"$5,000","$25,000"
12531.25,"$5,000","$25,000"
36094.32,"$25,000","$100,000"
1408.22,"$1,000","$2,000"
8526.2,"$5,000","$25,000"
2717.37,"$2,000","$5,000"
9682.56,"$5,000","$25,000"
5018.3,"$5,000","$25,000"
1628.85,"$1,000","$2,000"
14330.85,"$5,000","$25,000"
505.61,$1,"$1,000"
2534.21,"$2,000","$5,000"
7520.99,"$5,000","$25,000"
1586.81,"$1,000","$2,000"
583.53,$1,"$1,000"
385.16,$1,"$1,000"
452.35,$1,"$1,000"
61.16,$1,"$1,000"
2526.71,"$2,000","$5,000"
484.63,$1,"$1,000"
9453.8,"$5,000","$25,000"
11511.57,"$5,000","$25,000"
6662.42,"$5,000","$25,000"
641349.54,"$500,000","$1,000,000"
1561.18,"$1,000","$2,000"
41699.17,"$25,000","$100,000"
55090.29,"$25,000","$100,000"
18652.16,"$5,000","$25,000"
5207.13,"$5,000","$25,000"
222.9,$1,"$1,000"
888.62,$1,"$1,000"
341180.57,"$250,000","$500,000"
454.2,$1,"$1,000"
7848.85,"$5,000","$25,000"
3262.79,"$2,000","$5,000"
64821.7,"$25,000","$100,000"
979.08,$1,"$1,000"
1510.71,"$1,000","$2,000"
596.39,$1,"$1,000"
5696.52,"$5,000","$25,000"
33137.73,"$25,000","$100,000"
171.65,$1,"$1,000"
2279.47,"$2,000","$5,000"
3000.2,"$2,000","$5,000"
924.84,$1,"$1,000"
668.09,$1,"$1,000"
8485.48,"$5,000","$25,000"
9.68,$1,"$1,000"
1134,"$1,000","$2,000"
5711.62,"$5,000","$25,000"
12783.27,"$5,000","$25,000"
1114.18,"$1,000","$2,000"
1629.31,"$1,000","$2,000"
1246.85,"$1,000","$2,000"
22896.9,"$5,000","$25,000"
1522.59,"$1,000","$2,000"
1643.74,"$1,000","$2,000"
4096.6,"$2,000","$5,000"
4444.13,"$2,000","$5,000"
42471.69,"$25,000","$100,000"
794.45,$1,"$1,000"
8986.46,"$5,000","$25,000"
8072.45,"$5,000","$25,000"
2537.57,"$2,000","$5,000"
2604.6,"$2,000","$5,000"
385.13,$1,"$1,000"
6707.68,"$5,000","$25,000"
255.99,$1,"$1,000"
